date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-06-15,sz.300295,11.2043323000,11.7665100000,11.0631341800,11.4788842000,11.2043323000,1348815,59242339.5300,2,10.103483,1,2.450400,30.990007,9.667139,5.087952,3.816848,0
2012-06-18,sz.300295,11.5834754000,12.0227584400,11.3873669000,11.9469298200,11.4788842000,1332512,60330288.6400,2,9.981363,1,4.077400,32.253609,10.061312,5.295411,3.972478,0
2012-06-19,sz.300295,11.9364707000,11.9626185000,11.6462301200,11.7638952200,11.9469298200,794189,35748858.7600,2,5.948981,1,-1.532100,31.759463,9.907166,5.214282,3.911617,0
2012-06-20,sz.300295,11.7534361000,12.1587270000,11.6880666000,11.7508213200,11.7638952200,1061535,48362835.7000,2,7.951573,1,-0.111100,31.724167,9.896156,5.208487,3.907270,0
2012-06-21,sz.300295,11.6880666000,11.7142144000,11.3507599800,11.5390241400,11.7508213200,623582,27391263.1500,2,4.671026,1,-1.802400,31.152370,9.717787,5.114609,3.836845,0
2012-06-25,sz.300295,11.4527364000,11.8318795000,11.4265886000,11.4579659600,11.5390241400,532456,23707951.8100,2,3.988434,1,-0.702500,30.933534,9.649523,5.078681,3.809892,0
2012-06-26,sz.300295,11.5050320000,11.6619188000,11.3742930000,11.3769077800,11.4579659600,368924,16184032.1400,2,2.763476,1,-0.707400,30.714698,9.581258,5.042752,3.782940,0
2012-06-27,sz.300295,11.3298417400,12.4202050000,11.2435540000,12.0044549800,11.3769077800,985841,44999056.9400,2,7.384577,1,5.516000,32.408912,10.109758,5.320909,3.991606,0
2012-06-28,sz.300295,12.1848748000,12.3888276400,12.0018402000,12.0122993200,12.0044549800,928495,43348120.7300,2,6.955019,1,0.065300,32.430090,10.116364,5.324386,3.994214,0
2012-06-29,sz.300295,12.0279880000,12.3365320400,11.8527977400,12.2371704000,12.0122993200,624107,28867860.5400,2,4.674959,1,1.872000,33.037183,10.305743,5.424059,4.068986,0
2012-07-02,sz.300295,12.2920807800,12.7941185400,12.1848748000,12.6973716800,12.2371704000,721258,34750356.6400,2,5.402682,1,3.760700,34.279607,10.693309,5.628040,4.222008,0
2012-07-03,sz.300295,12.7052160200,13.0582113200,12.6503056400,12.7627411800,12.6973716800,840079,41470942.7800,2,6.292727,1,0.514800,34.456088,10.748361,5.657015,4.243744,0
2012-07-04,sz.300295,12.8124220000,13.1183512600,12.4725006000,12.5038779600,12.7627411800,907558,44644538.3000,2,6.798187,1,-2.028300,33.757225,10.530355,5.542275,4.157669,0
2012-07-05,sz.300295,12.4881892800,12.8045776600,12.3522207200,12.6189282800,12.5038779600,600748,28858808.4200,2,4.499985,1,0.920100,34.067831,10.627247,5.593271,4.195924,0
2012-07-06,sz.300295,12.6555352000,13.2177129000,12.3156138000,13.1366547200,12.6189282800,843409,41319992.4000,2,6.317670,1,4.102800,35.465558,11.063259,5.822750,4.368074,0
2012-07-09,sz.300295,13.0477522000,13.3615258000,12.9431610000,12.9693088000,13.1366547200,733849,36905467.7000,2,5.496996,1,-1.273900,35.013767,10.922326,5.748575,4.312430,0
2012-07-10,sz.300295,12.8150367800,12.9379314400,12.2528590800,12.2580886400,12.9693088000,901785,43216587.7200,2,6.754944,1,-5.483900,33.093657,10.323360,5.433331,4.075941,0
2012-07-11,sz.300295,12.2894660000,12.5221814200,12.2005634800,12.3652946200,12.2580886400,499273,23547497.6100,2,3.739873,1,0.874600,33.383085,10.413645,5.480849,4.111589,0
2012-07-12,sz.300295,12.2973103400,12.9143984200,12.2920807800,12.8751767200,12.3652946200,645923,31314910.6100,2,4.838375,1,4.123500,34.759635,10.843051,5.706851,4.281130,0
2012-07-13,sz.300295,12.7915037600,13.0425226400,12.3417616000,12.5221814200,12.8751767200,658131,32044253.1100,2,4.929820,1,-2.741700,33.806639,10.545770,5.550388,4.163755,0
2012-07-16,sz.300295,12.6032396000,12.6555352000,11.9704628400,11.9835367400,12.5221814200,806536,37545412.4800,2,6.041468,1,-4.301500,32.352438,10.092141,5.311637,3.984650,0
2012-07-17,sz.300295,11.9809219600,12.3391468200,11.8998637800,12.2031782600,11.9835367400,340535,15816701.6100,2,2.550824,1,1.832900,32.945413,10.277116,5.408992,4.057683,0
